Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,UpCard_Suit,UpCard_Number,,Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,,Own Crib (frequencies),,,,,,Other Crib,,,
Bill,7,H,1,D,5,S,13,H,D,4,,Bill,7,D,1,H,9,D,9,C,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,You,7,C,4,H,9,S,13,H,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,Bill,7,S,7,H,8,S,8,D,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,You,10,S,9,C,6,D,8,H,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,Bill,13,H,3,S,10,H,10,C,,,,,,,,,,,
Bill,7,H,1,D,5,S,13,H,D,4,,You,8,C,7,H,3,S,13,D,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,Bill,13,D,12,S,5,C,7,D,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,You,9,H,6,S,3,H,9,C,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,Bill,9,D,7,H,12,D,12,C,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,You,1,H,3,D,9,C,13,C,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,Bill,2,D,11,S,3,D,8,S,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,You,9,S,7,S,10,S,13,H,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,Bill,10,S,8,H,5,H,10,D,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,You,12,D,13,D,6,S,10,C,,,,,,,,,,,
You,9,H,6,D,7,C,11,H,C,11,,You,11,H,10,H,2,H,9,C,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,Bill,2,H,12,D,7,S,9,D,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,You,2,S,2,C,1,C,9,S,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,Bill,9,H,2,S,6,H,13,C,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,You,4,C,4,S,11,C,12,C,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,Bill,12,D,11,H,5,H,12,H,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,You,1,C,2,S,10,D,12,H,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,Bill,1,S,7,H,8,S,10,H,,,,,,,,,,,
Bill,12,C,6,S,11,D,11,C,H,5,,Bill,4,H,8,S,2,H,7,H,,,,,,,,,,,
You,9,H,5,S,8,C,11,D,H,12,,You,1,S,6,C,12,H,13,H,,,,,,,,,,,
You,9,H,5,S,8,C,11,D,H,12,,Bill,11,S,1,S,4,D,4,C,,,,,,,,,,,
You,9,H,5,S,8,C,11,D,H,12,,You,10,C,8,C,5,S,7,S,,,,,,,,,,,
You,9,H,5,S,8,C,11,D,H,12,,Bill,11,D,13,D,3,S,3,D,,,,,,,,,,,
You,9,H,5,S,8,C,11,D,H,12,,You,5,H,6,C,1,S,9,C,,,,,,,,,,,
